stock,0
AARTIIND,100.81632653061226
ABB,230.45580110497238
ABBOTINDIA,508.5805687203791
ABCAPITAL,-24.63157894736842
ABFRL,35.191637630662036
ACC,47.19419924337957
ADANIENT,2180.0293685756246
ADANIPORTS,227.5885466141946
ALKEM,173.83872368135448
AMBUJACEM,115.4949494949495
APOLLOHOSP,351.25684758537625
APOLLOTYRE,83.64705882352942
ASHOKLEY,75.43424317617865
ASIANPAINT,192.9812834224599
ASTRAL,493.12714776632305
ATUL,182.36744759556103
AUBANK,193.48230912476723
AUROPHARMA,60.06431808215172
AXISBANK,116.45067698259186
BAJAJ-AUTO,162.18006085555754
BAJAJFINSV,300.07263922518155
BAJFINANCE,451.9508670520231
BALKRISIND,212.40356083086053
BALRAMCHIN,156.44633507853402
BANDHANBNK,-51.05341562034476
BANKBARODA,41.900647948164135
BATAINDIA,186.5093054925102
BEL,273.1722177091795
BERGEPAINT,191.38781691172878
BHARATFORG,126.6847580280416
BHARTIARTL,207.73731377361725
BHEL,117.62749445676275
BIOCON,65.55052790346907
BOSCHLTD,-1.0212765957446808
BPCL,5.854346268518729
BRITANNIA,178.3783783783784
BSOFT,517.2034564021997
CANBK,39.951647023269885
CANFINHOME,19.425859654582215
CHAMBLFERT,217.551867219917
CHOLAFIN,464.95645503361754
CIPLA,137.04977375565613
COALINDIA,53.19959879638918
COFORGE,1069.2021276595747
COLPAL,116.62835926449786
CONCOR,94.22743055555554
COROMANDEL,175.02331002331
CROMPTON,42.919964819700965
CUB,-0.8319467554076538
CUMMINSIND,123.80743982494529
DABUR,85.62267971650354
DALBHARAT,166.97674418604652
DEEPAKNTR,1350.7462686567164
DELTACORP,-1.105331599479855
DIVISLAB,479.9403874813711
DIXON,1029.1879222390735
DLF,311.5968115196709
DRREDDY,112.76118566142112
EICHERMOT,39.57627118644067
ESCORTS,322.84390853613706
EXIDEIND,50.51339285714285
FEDERALBNK,34.78454020435361
GAIL,76.79738562091505
GLENMARK,35.739959368651355
GMRINFRA,332.73657289002557
GNFC,166.9581948574427
GODREJCP,75.53191489361703
GODREJPROP,334.756446991404
GRANULES,192.04139900071374
GRASIM,65.21083513684557
GUJGASLTD,257.9953067381831
HAL,433.68888888888887
HAVELLS,208.56219709208398
HCLTECH,270.3024529649917
HDFCAMC,90.6624431896433
HDFCBANK,98.0722891566265
HDFCLIFE,85.56266356498983
HEROMOTOCO,15.885520277976713
HINDALCO,195.50647372429552
HINDCOPPER,304.783950617284
HINDPETRO,30.900165567723008
HINDUNILVR,131.27959927140253
IBULHSGFIN,-81.11038719285182
ICICIBANK,245.44044130322362
ICICIGI,105.25657991471842
ICICIPRULI,12.266949152542368
IDEA,-69.3719806763285
IDFC,130.56325023084023
IDFCFIRSTB,58.83424408014572
IEX,202.89081200515557
IGL,103.60591789163216
INDHOTEL,254.5698924731183
INDIACEM,26.44971862001467
INDIAMART,298.46272098385856
INDIAVIX,9.590235396687007
INDIGO,158.69107744107745
INDUSINDBK,12.230578123950856
INDUSTOWER,-45.7286432160804
INFY,238.71644295302013
INTELLECT,479.0138067061144
IOC,4.784392660834564
IPCALAB,361.66328600405683
IRCTC,548.6698499317872
ITC,36.467153284671525
JINDALSTEL,471.5617715617717
JKCEMENT,326.53805496828755
JSWSTEEL,303.78417968750006
JUBLFOOD,426.49999999999994
KOTAKBANK,92.89766757722211
LALPATHLAB,217.41290322580645
LAURUSLABS,230.19017432646592
LICHSGFIN,-23.863259210089613
LT,217.6270552731611
LTIM,691.8227414132435
LTTS,658.125
LUPIN,32.61633428300095
M&M,138.3429559508807
M&MFIN,31.613570153181108
MANAPPURAM,75.8130081300813
MARICO,64.11085450346422
MARUTI,35.48036417991575
MCDOWELL-N,128.14039408866995
MCX,182.7813653136531
METROPOLIS,57.34924623115577
MFSL,51.04754230459307
MGL,27.85072214927784
MIDCPNIFTY,43.05915538719421
MOTHERSON,-20.84529857889699
MPHASIS,347.6755852842809
MRF,88.28012937702152
MUTHOOTFIN,222.99090012060083
NATIONALUM,103.48027842227378
NAUKRI,415.1310679611651
NAVINFLUOR,484.4370860927152
NESTLEIND,278.2383419689119
NIFTY 50,120.99075517090074
NIFTY BANK,98.72271056017522
NIFTY FINANCIAL SERVICES,117.73574687450503
NIFTY MIDCAP SELECT,55.71800949617126
NIFTY50,103.02512192784697
NIFTYBANK,85.15512768730457
NIFTYPHARMA,62.70199417656417
NMDC,86.08542492294144
NTPC,139.27998165558358
OBEROIRLTY,321.0792349726776
OFSS,30.74817008437168
ONGC,40.79195474544312
PAGEIND,110.61886960696894
PEL,-66.75244761235103
PERSISTENT,1045.052395209581
PETRONET,7.304550758459746
PFC,302.75551102204406
PIDILITIND,233.64914425427875
PIIND,318.7363304981774
PNB,-29.978510028653293
POLYCAB,509.36925903245555
POWERGRID,101.21746431570111
PVRINOX,5.961805555555549
RAMCOCEM,42.758620689655174
RBLBANK,-43.82239382239382
RECLTD,231.7073170731707
RELIANCE,300.1401439395045
SAIL,95.40816326530614
SBICARD,13.189483761690838
SBILIFE,101.79447637740084
SBIN,130.84468664850135
SHREECEM,52.83222544173627
SHRIRAMFIN,122.40575204041973
SIEMENS,209.36722030245605
SRF,644.8635582978181
SUNPHARMA,141.2431941923775
SUNTV,-14.29609006173587
SYNGENE,210.65957446808508
TATACHEM,78.0448717948718
TATACOMM,143.34865580164367
TATACONSUM,661.0286844708208
TATAMOTORS,90.12675892545646
TATAPOWER,342.95468653010556
TATASTEEL,184.67843631778055
TCS,226.88842105263157
TECHM,242.7541928721174
TITAN,602.1466905187835
TORNTPHARM,300.80971659919027
TRENT,1241.6666666666665
TVSMOTOR,280.12681159420293
UBL,129.30342234401888
ULTRACEMCO,146.46809364884191
UPL,-1.3680918351300893
VEDL,7.274872198191113
VOLTAS,125.47512278453985
WIPRO,139.12820512820514
ZEEL,-48.7425884277244
ZYDUSLIFE,35.04453596398814
