stock,Q1,Q2,Q3,Q4
AARTIIND,-9.93220085185481,32.760953586063565,-46.899869886299626,69.03280674385164
ABB,0.3890582041988444,80.68257923351402,-47.09345117308586,38.95416962962266
ABBOTINDIA,19.771995519534272,76.11802147554451,753.5482784251607,50.41353867753496
ABCAPITAL,-71.90617203688667,41.76371018201104,-84.86061799576117,78.87825133429051
ABFRL,-30.29136056607492,-37.20242735509349,4.299922415790354,52.765033427366916
ACC,-56.4771770541805,33.815053918513385,91.89070525667464,20.777945266687425
ADANIENT,7.479252217076718,80.93060151663862,39.9219016383496,198.85547140462535
ADANIPORTS,-0.9206838340514407,57.535221148429784,20.129290657904022,74.5259296813191
ALKEM,4.081004628240471,-4.389302269165672,50.89984227543953,46.85571182816942
AMBUJACEM,-53.994593559607736,50.77005119122599,8.48861204014211,35.71300797409845
APOLLOHOSP,-20.681036851833824,53.55729293473096,-23.098587187608693,83.02894977137282
APOLLOTYRE,-49.59965269071618,40.74956424245024,-53.4678241309656,81.4023291321224
ASHOKLEY,-28.406289552896766,52.083153133547285,-17.515196919903364,21.128673389102136
ASIANPAINT,-28.70087480596865,32.36225127618484,385.7831530359366,49.881620399746794
ASTRAL,1.1023971827334358,73.12292871668471,4.747260296573868,62.294492889636146
ATUL,6.6411149670276295,30.622016320393563,653.1605274969515,24.17235739153967
AUBANK,4.764307453397273,44.15068114320767,30.758288022154204,85.03302874611897
AUROPHARMA,-3.224077669833135,72.74067444262057,561.4123280139976,0.9245009886019715
AXISBANK,-25.448682254122808,26.108350688909276,-46.03136688712652,83.26899718123718
BAJAJ-AUTO,-19.23474748164275,72.18419074668216,31.19294489216389,54.246692390950145
BAJAJFINSV,-61.83084977855129,62.75630785798048,28.47367077872339,60.198137128068794
BAJFINANCE,-45.50167003615741,93.07270753025121,105.83718451582477,48.38047893695671
BALKRISIND,-25.87071818698695,74.68453868935646,-26.00698868000231,70.91530085964348
BALRAMCHIN,-14.745910138823518,47.37482339401372,36.67823362574026,64.75415504159882
BANDHANBNK,-27.22928300054876,81.90710910660296,-17.63911512809736,27.2004908190114
BANKBARODA,-4.0666533655490085,-17.77637952815401,-81.78747933119789,139.46008802166835
BATAINDIA,-35.10302612743107,44.233092837054855,-4.87589763628349,46.108242386607195
BEL,-34.73480765865878,91.08025638097929,-50.31688577557769,74.30163240826732
BERGEPAINT,-18.350119165336753,12.510080984625771,13.527510680862777,70.78922677871073
BHARATFORG,-62.179678761109514,40.46468032638779,3.3709783712334183,67.46898592944625
BHARTIARTL,-8.908896870042504,47.058854901749534,23.459676707078778,83.17382307467217
BHEL,-65.7370697059591,103.76758392503805,-86.58608362505485,100.22402764483259
BIOCON,-27.33956131719383,43.30568944466287,-88.15806770548323,62.27552225074188
BOSCHLTD,-51.945774613568744,23.090068911310688,1599.0603225369935,41.66616607784902
BPCL,-35.21278150748055,11.518048653995805,163.426897607586,51.286702175274336
BRITANNIA,-16.305298734206065,67.75043776843599,95.4313328376258,34.454050048460296
BSOFT,-60.664815227553355,110.37330671820911,-42.49195379024993,155.80970833167115
CANBK,-76.02359090130388,-1.2050191756734163,-46.48545337122526,182.52974424165214
CANFINHOME,34.5428804839754,-16.976738103844568,-8.39828743014048,27.347134755087488
CHAMBLFERT,-9.902315128835838,29.76239924482411,-19.507934822684756,95.61999492373971
CHOLAFIN,48.370399092025096,63.417769217411355,-25.862101742485102,75.43276509894945
CIPLA,-21.784110719893324,82.89700830669173,-40.78654139074711,1.667622383077549
COALINDIA,-11.577203997826212,22.99536556472095,-57.61025571544972,21.164975022893554
COFORGE,17.44692157266281,94.75792205691923,37.51290524689388,107.134499827084
COLPAL,-25.198382013507302,31.569469932348248,30.687032453311545,40.98556564342014
CONCOR,-30.48595438305866,61.2175130773699,-21.536556345593013,29.44118744991114
COROMANDEL,9.506703656345293,31.553732645393385,-61.687364191389975,70.22821121686175
CROMPTON,-40.30791333460529,19.764899214384496,-27.79844036328892,27.332769618368047
CUB,-100.4114631607971,26.438592084900236,45.86928743261939,64.43991239783628
CUMMINSIND,3.6808544665920886,28.107898060131973,-63.96603331291146,73.7437393095114
DABUR,-19.23802174431054,25.358346389383968,-33.66161043735135,18.136849832359204
DALBHARAT,780.961289549938,58.24644232503545,39.31499834440827,35.59145849810481
DEEPAKNTR,85.95859687209477,35.72809304926589,99.39757753727444,53.107447607900305
DELTACORP,-98.0354253155765,-30.91969640536407,27.425994331040037,146.6786746764395
DIVISLAB,-3.472128609650237,33.9051536864467,246.79696078246766,71.15603129920864
DIXON,-24.58379738354929,85.10233403924053,18.524242973380943,132.2680090869752
DLF,-24.815560696738558,18.760841165797345,-60.274092864749136,178.7438289525178
DRREDDY,-15.43925680004654,58.86954311857853,1912.4130206205975,20.230949039585035
EICHERMOT,-81.04804848428407,71.1820358715201,190.45604583498812,35.30234396340802
ESCORTS,8.35468543925314,19.15874442000428,15.212719428267093,63.37921734350452
EXIDEIND,-60.410257330184365,44.1584062047757,-32.42303413293285,53.70972063167438
FEDERALBNK,-56.40554630748218,36.8940243482923,-66.16773470081536,81.32700967664447
GAIL,-12.518908467287435,23.433527360121207,649.9586013660714,62.34418971024851
GLENMARK,-73.6086099814511,124.5606684838998,-97.81538321782084,40.386133595401446
GMRINFRA,-44.407687655665626,21.224023841624142,-16.84207690888366,144.29208451491542
GNFC,32.17900179216606,27.335263620004543,75.7653746700965,55.68067296654925
GODREJCP,-42.734004656796465,74.95114459574383,233.16190787179852,23.430093840869958
GODREJPROP,-23.61606361845636,76.22424556776313,-19.211558165989146,86.87022590213564
GRANULES,-5.728600760754265,6.186655637397866,22.17811359680547,41.119335879667496
GRASIM,3.4514005703433766,19.77826466736723,-7.764894090143576,20.443350794490822
GUJGASLTD,51.84942866539015,35.16010824404925,-70.30088097958078,68.97569762540556
HAL,-80.06945892763466,70.65239149540837,118.91947920310713,51.5779488923999
HAVELLS,-18.162467417175314,33.484333696507775,46.33519636611407,36.664992128134244
HCLTECH,0.504619394061466,15.561548151450147,7.098007099719155,47.92569470057284
HDFCAMC,-61.24362258124223,63.98400891602165,-54.43154925775078,71.99247990447506
HDFCBANK,-25.642504043730096,40.665296684297324,-89.08105219497858,63.064130707731124
HDFCLIFE,-37.84492417377224,77.85087591740822,17.293032821770826,-58.81118508595672
HEROMOTOCO,-86.2724727454156,93.0866820483902,31.445523303695456,24.944461204580136
HINDALCO,-74.32057867087862,30.179803960939886,23.61332609973805,104.3697120217418
HINDCOPPER,-48.22038823628718,43.097696398712486,-62.065926949848176,223.57960851066883
HINDPETRO,-17.154392266795032,12.526735776936604,-23.562422325108635,72.40791304640067
HINDUNILVR,-3.0849078743603107,38.72179790819078,24.28829734190435,31.219283064623326
IBULHSGFIN,-169.53664015513544,68.078950461011,-0.5331969185501069,120.31721361420357
ICICIBANK,-37.35278852037808,37.18020575834671,18.38884229887845,112.91144817043124
ICICIGI,-23.118955720173997,34.34703321634336,4222.026909166534,60.67119442553436
ICICIPRULI,-32.375878756897826,92.22115751838064,-83.98530414100522,-16.17058948616583
IDEA,-168.47898671248709,110.12698141575261,-48.98536767737758,135.90839761593259
IDFC,-79.31025781153701,13.844276478300547,21.773843046433146,90.99044966986324
IDFCFIRSTB,-36.652957242771485,-0.9582410926202627,-21.3908955714505,68.4652787820044
IEX,18.84626107379763,8.841368172804486,49.51846442788873,-19.77222328016549
IGL,-20.393696937048198,27.61845813607405,-41.796975237563636,60.737198243465336
INDHOTEL,-11.351635061591617,58.66236063192088,-0.9048771258765127,31.85304045716408
INDIACEM,33.93200738820546,-3.7874374466951855,-64.83310169048474,26.1632847348544
INDIAMART,-1.4512958069607764,14.484170390065067,88.97925372096714,14.73511800562977
INDIAVIX,290.5844123008712,-123.7005663994276,-24.352022227294476,-11.601296705536296
INDIGO,10.498524297642167,11.230122187776432,-33.24769380620558,82.25131347615843
INDUSINDBK,-93.1257636015429,46.56343774828983,1162.9275466557328,56.1716242909909
INDUSTOWER,-39.232119785784064,19.86900984020557,166.5040641898458,12.854716771839772
INFY,22.863236912646457,12.843146583983158,-7.582676293353606,49.35464540622084
INTELLECT,23.916529728358437,132.48578576583054,-36.29567032633901,57.83412599748128
IOC,-14.65150763487197,19.94753285380932,-49.483046660636994,37.19001333164371
IPCALAB,41.89234608929958,4.202368017552304,-16.050281619017994,64.9025579229321
IRCTC,25.66368100324994,35.28098003576784,94.70057830259152,-27.3358638760142
ITC,9.690444029315056,31.19361581253015,-91.61889933628365,7.175127106526214
JINDALSTEL,18.590489826705046,41.854479218355785,-33.23166540411296,161.10642615323405
JKCEMENT,13.236912362707162,46.184650795445826,569.1988420047988,84.60519766656054
JSWSTEEL,-33.550451685597054,68.94852806943217,24.870320638176807,75.36370849108425
JUBLFOOD,-3.5937938001927465,42.0494058536531,26.218612899801755,45.73087171283592
KOTAKBANK,-33.07728137136138,43.45784884140376,-41.853134258257555,63.593520127199454
LALPATHLAB,-32.466722595446754,56.48882819419635,118.66319755599366,39.46912300243518
LAURUSLABS,-20.120911425842667,92.80719211122559,22.350684045213317,-14.13368781866394
LICHSGFIN,-44.40217064567473,32.39929178284173,-95.52368406769212,56.125625383605566
LT,-32.12094193053536,36.30577547025723,435.2927448688377,87.5410690199277
LTIM,12.57842715868992,33.08290441504132,67.02382380371043,122.24138293744814
LTTS,1.6286332803259072,-0.8445319518253025,44.40603318649019,106.16024692507037
LUPIN,-77.30698564678823,97.67189205232101,704.0145986549066,11.570238126192345
M&M,-80.29487022082095,135.2345828563507,6.544645272038531,44.60529357584612
M&MFIN,-56.18861797713362,46.6205311589902,-54.402585879801016,70.68579655855854
MANAPPURAM,-65.86373451601362,50.15176184909359,-64.8017769820651,119.52942882792766
MARICO,-32.23604597685474,69.52674578049837,63.39036943893319,3.0801470570718035
MARUTI,-78.59086116367251,72.4433485365098,1641.1718340738921,43.02764414473259
MCDOWELL-N,-59.841122233217206,57.851785358506824,-41.3408542703025,91.91210623496521
MCX,-44.55243612598272,29.079066691450336,301.7717912588634,90.08124770786829
METROPOLIS,-57.68900367909599,-1.1466128619659113,67.44572339420968,54.48663439004406
MFSL,-50.17328879389372,83.12769371329634,149.18135289072805,37.33731065307745
MGL,6.80317345191851,-2.778870187974446,30.983183994225666,50.98279518903847
MIDCPNIFTY,-5.171408907310838,19.02833261132223,877.4571187998779,6.24855977031663
MOTHERSON,-126.75171470112997,57.461985002279064,-53.74980835743005,97.63900481749657
MPHASIS,-8.405313921682591,48.57607945973348,252.28468657709982,35.14603672387631
MRF,-24.21338845433203,43.759396670209405,6144.687298263337,69.3406289822242
MUTHOOTFIN,-27.219083749641136,79.37164407536284,-59.720969108278595,73.74634320950169
NATIONALUM,-30.575818754551605,-6.479868405490828,-33.32631161025505,106.00984825679475
NAUKRI,-28.70113670469499,76.02499512845209,468.0518706042287,91.28830457185539
NAVINFLUOR,30.355068267757105,38.88215344091639,-25.399618984350155,82.37878469973137
NESTLEIND,-5.999341064439509,54.187386646973394,787.8375448130306,66.20964783314611
NIFTY 50,-25.793086832649603,34.60721503443389,713.1998760323452,50.47432236051611
NIFTY BANK,-37.328671258829104,32.52653704757374,298.9988108777788,77.89950977983499
NIFTY FINANCIAL SERVICES,-36.77324700834705,37.69196114780134,258.9138482318299,75.13841115963872
NIFTY MIDCAP SELECT,-3.689106682172172,19.02833261132223,212.8228922027389,13.373920071851298
NIFTY50,-26.63377839219544,34.60721503443389,8558.106249122346,42.75028727916889
NIFTYBANK,-36.216489839140195,32.52653704757374,7585.407076909422,69.57029603246124
NIFTYPHARMA,-30.577936768914416,48.10846480252388,2097.726800950037,11.537046672459693
NMDC,-13.275563579925265,-6.396988840522564,-71.73688015425633,107.23126257615728
NTPC,-2.29542011204481,37.3432659712593,-37.83161617104304,29.320921731004557
OBEROIRLTY,2.908915456319113,27.25126008682989,-4.718818022697472,80.73391933849229
OFSS,-31.32822352655411,58.76792426585651,50.85473875639647,-8.265471659572643
ONGC,-17.40078129380004,31.5602793608748,-89.28052213860343,51.21214593212257
PAGEIND,-38.08986368506191,17.044563952269232,314.26908893521545,45.54908899776252
PEL,-46.88500593125833,57.78144707303026,3.304393585112038,20.177283779784773
PERSISTENT,31.17652820977458,55.696698831751576,47.4192723774462,91.12441905567768
PETRONET,-32.043507938375555,35.03132498217919,-84.38727192338348,19.42256322646943
PFC,-29.053224166058257,41.687112974319,-17.024520827636575,145.82812126885102
PIDILITIND,11.325625115772475,30.31885223126295,261.8223101525782,49.9519626669246
PIIND,-18.770312345327184,70.8865557194902,-3.4380208266674033,84.89237859977663
PNB,-104.35188418454247,-14.034472397186427,-26.018754203319325,152.45722098357956
POLYCAB,-9.37426890684991,705.7126231199151,93.98925045955889,72.800372773817
POWERGRID,9.810894849029506,32.32472788770495,-79.20956136771333,38.57095916268927
PVRINOX,-36.622845775532625,5.079564094787325,220.54059153027376,36.80047839916939
RAMCOCEM,-23.867490849466687,36.72053958506193,70.72719444670537,30.748411414125208
RBLBANK,-90.29213034436934,37.33604342911905,194.17355678657557,83.73930537078793
RECLTD,-41.9244861923241,66.91834623028063,-79.51272675284237,120.1034859401114
RELIANCE,1.875577179600941,64.83727299279502,3.399685809997916,23.15686604854872
SAIL,-80.15504478322312,70.83664385568186,-137.86115469401994,185.02326351964322
SBICARD,69.0335545194601,16.44348488920039,49.79328076169358,-23.82001140862001
SBILIFE,-55.50371169623722,74.95810356204146,26.93990108981198,-48.564185269584144
SBIN,-36.67740029553962,31.794296138337064,-91.12099601655281,125.25021230322194
SHREECEM,5.689116117877044,4.845906460747807,1523.131742446883,44.92871441761441
SHRIRAMFIN,-8.214774691867403,36.540910667142334,-103.69933806449617,131.98700508015776
SIEMENS,6.833678197229743,33.090848612333865,79.60863312796909,64.74560821802262
SRF,13.969783405668544,51.85010499989995,-29.32950097599986,109.29271268343594
SUNPHARMA,-3.392460192237676,39.59483883951706,-1.9136513872358596,25.112469143656703
SUNTV,-63.06342556670067,14.100712564981066,-31.884703628007955,39.72689759448209
SYNGENE,-24.336287003961132,98.22439452494324,-20.09994784285341,16.3217669468113
TATACHEM,-38.94972587246697,26.705768336510747,33.24823874692905,69.27692541340492
TATACOMM,-59.6602857645005,98.78021536625397,-43.15313249200465,51.320063985255814
TATACONSUM,-15.046898270851411,93.11897657903263,-18.616750471257287,83.53185497330884
TATAMOTORS,-51.402681247888076,62.80687265286808,-31.09250274582537,129.25850004784778
TATAPOWER,-27.951751734497723,45.23584326187235,-42.85630836522225,126.12729259057943
TATASTEEL,-21.18559274600776,27.69373816261372,-51.23876523986068,98.94406110783896
TCS,10.465192098461273,49.70409432501247,35.9426605032892,32.22010170671362
TECHM,4.888095742748879,-32.600909784810966,11.447610622863277,69.81880477479284
TITAN,10.410565718545449,22.320752955902066,-13.630370035943145,111.33868013251059
TORNTPHARM,-10.339387172027669,50.3847643313982,78.8337649530827,62.19215748642214
TRENT,43.43166277206232,62.28289793379025,37.78307619415041,75.98491667540172
TVSMOTOR,-54.99548091933542,69.13664060770614,310.79209180249774,84.86599194424792
UBL,-53.36980360643342,51.170839083788294,74.67930776594025,63.63083214707803
ULTRACEMCO,-10.11790891407028,25.335433666831385,1892.6846808214998,70.4800806450839
UPL,4.948870062077073,15.44359652553605,-85.14454853038258,16.19590440174152
VEDL,-47.086986401855384,-3.9843797640809613,-47.55270849941513,67.18347088521759
VOLTAS,14.256902240542326,-22.68459854743472,-17.734522736717956,50.977991845982515
WIPRO,-42.53456052855096,16.45179836353421,16.105171674742635,67.83269976951476
ZEEL,-100.14231262067337,-26.53020544782909,370.6315705745217,53.24068830040052
ZYDUSLIFE,-25.708460348128416,57.62790260414471,-25.016289981620524,20.853798742185937
